多参数水体组份原位光谱分析系统保存数据

保存时间：2018年9月19日 星期三 11:36:48-447
数据个数：2048

波长/nm	DN值
187.5428	49
187.9263	49
188.3100	49
188.6936	49
189.0773	49
189.4610	49
189.8448	49
190.2286	49
190.6124	49
190.9963	39
191.3802	45
191.7642	45
192.1482	53
192.5322	54
192.9163	49
193.3004	46
193.6846	44
194.0687	49
194.4530	50
194.8372	44
195.2215	48
195.6059	51
195.9903	43
196.3747	53
196.7591	55
197.1437	57
197.5282	53
197.9128	41
198.2974	43
198.6820	47
199.0667	56
199.4514	51
199.8362	51
200.2210	51
200.6059	60
200.9907	61
201.3757	66
201.7606	63
202.1456	64
202.5307	68
202.9157	63
203.3008	66
203.6860	51
204.0712	56
204.4564	54
204.8417	46
205.2270	58
205.6123	54
205.9977	60
206.3831	64
206.7686	58
207.1541	55
207.5396	60
207.9251	79
208.3107	82
208.6964	74
209.0821	73
209.4678	76
209.8536	83
210.2393	74
210.6252	69
211.0110	78
211.3970	74
211.7829	76
212.1689	75
212.5549	90
212.9410	97
213.3271	94
213.7132	102
214.0994	112
214.4856	109
214.8719	119
215.2581	123
215.6445	128
216.0308	130
216.4172	144
216.8036	145
217.1901	154
217.5766	165
217.9632	177
218.3498	195
218.7364	222
219.1231	251
219.5098	268
219.8965	278
220.2832	288
220.6701	315
221.0569	358
221.4438	395
221.8307	439
222.2177	495
222.6047	515
222.9917	556
223.3788	613
223.7659	678
224.1530	759
224.5402	871
224.9274	998
225.3147	1133
225.7020	1290
226.0893	1471
226.4767	1678
226.8641	1897
227.2515	2109
227.6390	2321
228.0265	2538
228.4141	2771
228.8017	2981
229.1893	3204
229.5770	3342
229.9647	3342
230.3524	3274
230.7402	3149
231.1280	2981
231.5158	2846
231.9037	2733
232.2916	2655
232.6796	2616
233.0676	2592
233.4556	2607
233.8437	2617
234.2318	2617
234.6199	2674
235.0081	2691
235.3963	2700
235.7846	2752
236.1729	2793
236.5612	2794
236.9496	2835
237.3380	2906
237.7264	3021
238.1149	3160
238.5034	3306
238.8919	3481
239.2805	3717
239.6691	3967
240.0578	4165
240.4465	4372
240.8352	4656
241.2239	4928
241.6127	5183
242.0016	5451
242.3905	5720
242.7793	5930
243.1683	6065
243.5573	6126
243.9463	6123
244.3353	6093
244.7244	6048
245.1136	6102
245.5027	6252
245.8919	6422
246.2811	6676
246.6704	7003
247.0597	7220
247.4491	7308
247.8384	7260
248.2279	6961
248.6173	6532
249.0068	6017
249.3963	5573
249.7859	5207
250.1754	4849
250.5651	4586
250.9547	4448
251.3444	4322
251.7342	4245
252.1239	4183
252.5138	4139
252.9036	4086
253.2935	4005
253.6834	3889
254.0733	3746
254.4633	3722
254.8533	3764
255.2434	3806
255.6335	3951
256.0236	4138
256.4138	4317
256.8040	4582
257.1942	4907
257.5845	5251
257.9748	5578
258.3651	5910
258.7555	6184
259.1459	6392
259.5364	6660
259.9268	6913
260.3174	7036
260.7079	7002
261.0985	6787
261.4892	6347
261.8798	5919
262.2705	5594
262.6612	5315
263.0520	5106
263.4428	4938
263.8336	4807
264.2245	4704
264.6154	4649
265.0063	4623
265.3973	4632
265.7883	4674
266.1794	4770
266.5705	4875
266.9616	4961
267.3528	5095
267.7439	5194
268.1352	5239
268.5264	5300
268.9177	5391
269.3091	5403
269.7004	5456
270.0918	5505
270.4832	5502
270.8747	5617
271.2662	5750
271.6577	5789
272.0493	5835
272.4409	5792
272.8326	5676
273.2242	5508
273.6159	5314
274.0077	5164
274.3994	5119
274.7913	5116
275.1831	5152
275.5750	5177
275.9669	5184
276.3589	5268
276.7509	5349
277.1429	5375
277.5349	5468
277.9270	5596
278.3192	5721
278.7113	5799
279.1035	5874
279.4958	6045
279.8880	6279
280.2803	6496
280.6726	6750
281.0650	7046
281.4574	7368
281.8499	7677
282.2423	7934
282.6348	8193
283.0274	8427
283.4200	8552
283.8126	8680
